#    L    TT             EE             TE             PP             TP          
   114   0.315008E+04   0.960699E+00  -0.322783E+02   0.427233E+07   0.529506E+04
   115   0.318373E+04   0.971993E+00  -0.328980E+02   0.424676E+07   0.523858E+04
   116   0.321751E+04   0.982946E+00  -0.335105E+02   0.422136E+07   0.518286E+04
   117   0.325142E+04   0.993536E+00  -0.341151E+02   0.419613E+07   0.512792E+04
   118   0.328542E+04   0.100376E+01  -0.347113E+02   0.417107E+07   0.507376E+04
   119   0.331953E+04   0.101361E+01  -0.352987E+02   0.414617E+07   0.502038E+04
   120   0.335374E+04   0.102307E+01  -0.358764E+02   0.412145E+07   0.496778E+04
   121   0.338804E+04   0.103213E+01  -0.364441E+02   0.409690E+07   0.491598E+04
   122   0.342240E+04   0.104079E+01  -0.370012E+02   0.407252E+07   0.486497E+04
   123   0.345684E+04   0.104902E+01  -0.375472E+02   0.404831E+07   0.481475E+04
   124   0.349134E+04   0.105683E+01  -0.380813E+02   0.402427E+07   0.476534E+04
   125   0.352589E+04   0.106420E+01  -0.386032E+02   0.400040E+07   0.471674E+04
   126   0.356049E+04   0.107113E+01  -0.391123E+02   0.397671E+07   0.466894E+04
   127   0.359512E+04   0.107760E+01  -0.396081E+02   0.395319E+07   0.462195E+04
   128   0.362977E+04   0.108362E+01  -0.400900E+02   0.392984E+07   0.457579E+04
   129   0.366445E+04   0.108918E+01  -0.405575E+02   0.390667E+07   0.453044E+04
   130   0.369913E+04   0.109425E+01  -0.410101E+02   0.388367E+07   0.448592E+04
   131   0.373380E+04   0.109885E+01  -0.414473E+02   0.386085E+07   0.444222E+04
   132   0.376848E+04   0.110298E+01  -0.418685E+02   0.383820E+07   0.439932E+04
   133   0.380313E+04   0.110661E+01  -0.422733E+02   0.381572E+07   0.435720E+04
   134   0.383777E+04   0.110976E+01  -0.426612E+02   0.379342E+07   0.431583E+04
   135   0.387236E+04   0.111241E+01  -0.430318E+02   0.377129E+07   0.427520E+04
   136   0.390693E+04   0.111458E+01  -0.433845E+02   0.374932E+07   0.423526E+04
   137   0.394144E+04   0.111624E+01  -0.437189E+02   0.372753E+07   0.419600E+04
   138   0.397590E+04   0.111741E+01  -0.440346E+02   0.370590E+07   0.415740E+04
   139   0.401030E+04   0.111809E+01  -0.443311E+02   0.368444E+07   0.411942E+04
   140   0.404463E+04   0.111827E+01  -0.446081E+02   0.366314E+07   0.408205E+04
   141   0.407888E+04   0.111796E+01  -0.448652E+02   0.364201E+07   0.404525E+04
   142   0.411304E+04   0.111715E+01  -0.451018E+02   0.362105E+07   0.400900E+04
   143   0.414711E+04   0.111586E+01  -0.453177E+02   0.360024E+07   0.397329E+04
   144   0.418107E+04   0.111408E+01  -0.455124E+02   0.357960E+07   0.393807E+04
   145   0.421492E+04   0.111181E+01  -0.456855E+02   0.355912E+07   0.390333E+04
